,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,8.761904761904763,10.043243243243243,6.026315789473684,6.149068322981367,8.761904761904763,10.043243243243243,6.026315789473684,6.149068322981367,0.9763088287646268,0.9451470081467886,0.9986587786360791,0.9409142032543325,0.9215837680056792,0.9164735460804926,0.9986587786360791,0.9982720138123317
0.2,9.142857142857142,10.989189189189188,6.131578947368421,6.22360248447205,9.142857142857142,10.989189189189188,6.131578947368421,6.22360248447205,0.6748077310748449,0.7539503053283771,0.9545885992579555,0.8978949319548118,0.8790209879021661,0.7432704350986593,0.9212021173239408,0.9350281284092375
0.4,9.306122448979592,11.594594594594595,6.131578947368421,6.372670807453416,9.306122448979592,11.594594594594595,6.131578947368421,6.372670807453416,0.667200372605046,0.6745361626576128,0.8034318721559095,0.8614730107071606,0.7591682008537305,0.6309932001891572,0.8547626171228394,0.8832130410286211
0.6,9.197278911564625,12.04864864864865,6.421052631578948,6.566459627329192,9.197278911564625,12.04864864864865,6.421052631578948,6.566459627329192,0.6008394578991293,0.6408511004335171,0.603044682223219,0.727256445010534,0.7199629408301038,0.5589101552384327,0.7856707064957734,0.7697995316005827
0.8,10.122448979591837,12.54054054054054,6.815789473684211,6.715527950310559,10.122448979591837,12.54054054054054,6.815789473684211,6.715527950310559,0.4177790068368725,0.3813027758302318,0.463527887201819,0.5273069324932114,0.53557811174415,0.4499668728044206,0.6789734164342742,0.7033108651707446
1.0,10.258503401360544,12.72972972972973,7.131578947368421,7.088198757763975,10.258503401360544,12.72972972972973,7.131578947368421,7.088198757763975,0.307594366447658,0.4121521257697856,0.4131010340510361,0.21293141866877952,0.5221025679089433,0.41548467202464473,0.5498726317217868,0.5482720681969423
