,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,8.73469387755102,10.383783783783784,6.019736842105263,6.156521739130435,8.73469387755102,10.383783783783784,6.019736842105263,6.156521739130435,0.9720996725721424,0.9346672973117313,0.9986587786360791,0.9673909496076358,0.9667852425656351,0.8842923714502438,0.9986587786360791,0.9948218002082398
0.2,8.816326530612244,11.14054054054054,6.078947368421052,6.190062111801242,8.816326530612244,11.14054054054054,6.078947368421052,6.190062111801242,0.6359756530522287,0.757985110918211,0.9599532669965636,0.9351596836625419,0.8789278508550455,0.7242768951414807,0.9563891073166016,0.9367146344265397
0.4,9.142857142857142,11.008108108108107,6.157894736842105,6.3577639751552795,9.142857142857142,11.008108108108107,6.157894736842105,6.3577639751552795,0.7267060693872928,0.62863767569935,0.6785704855267939,0.8704067892076807,0.7799344737158747,0.7268156688559699,0.864612043214341,0.886863668762749
0.6,9.387755102040817,11.537837837837838,6.453947368421052,6.495652173913044,9.387755102040817,11.537837837837838,6.453947368421052,6.495652173913044,0.6340590391124339,0.5749360112120976,0.5930784913025012,0.7286875658963593,0.6991818421551971,0.6051043483000752,0.8037680071174053,0.7924037008552077
0.8,9.959183673469388,11.935135135135136,6.651315789473684,6.726708074534161,9.959183673469388,11.935135135135136,6.651315789473684,6.726708074534161,0.4635595116941702,0.41443733169722397,0.5110390895544633,0.5418099222299846,0.5858639002441853,0.5387376440034525,0.6925837491524586,0.6955890921956819
1.0,9.918367346938776,12.502702702702702,6.769736842105263,6.860869565217391,9.918367346938776,12.502702702702702,6.769736842105263,6.860869565217391,0.39930955202983565,0.3835930545059209,0.3016290158603193,0.4491743967226296,0.5554981780092733,0.4264699492477686,0.6192518388750359,0.612224285579894
