,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,8.748299319727892,10.08108108108108,6.026315789473684,6.219875776397515,8.748299319727892,10.08108108108108,6.026315789473684,6.219875776397515,0.9730693706038858,0.9426748042976534,0.9986679820637954,0.9983720093780423,0.9922652110761526,0.9384209267593718,0.9985800099216009,0.9958745089099273
0.2,8.748299319727892,10.156756756756756,6.046052631578948,6.22360248447205,8.748299319727892,10.156756756756756,6.046052631578948,6.22360248447205,0.774804939002711,0.6951621847881658,0.9620029162288758,0.9243270856900985,0.9130529619651993,0.8584547102854059,0.9612378086567971,0.9479159440914666
0.4,8.857142857142858,10.232432432432432,6.105263157894737,6.260869565217392,8.857142857142858,10.232432432432432,6.105263157894737,6.260869565217392,0.7466011664823813,0.5997311514525397,0.6639659878054405,0.8613194077003816,0.8630206675275045,0.8261666745979439,0.8884146586632389,0.8952860724944506
0.6,8.775510204081632,10.383783783783784,6.157894736842105,6.320496894409938,8.775510204081632,10.383783783783784,6.157894736842105,6.320496894409938,0.5744268567662458,0.5707527341623161,0.6370221247381874,0.7545317097341422,0.8202834418740402,0.7296339912591754,0.8777887700779134,0.8280548535102272
0.8,9.224489795918368,10.62972972972973,6.2894736842105265,6.37639751552795,9.224489795918368,10.62972972972973,6.2894736842105265,6.37639751552795,0.4926479401535728,0.3881189286859857,0.45555141943980726,0.4928866023440724,0.7209325236376045,0.6820097355021013,0.799600130584287,0.7516845022600075
1.0,9.115646258503402,10.81891891891892,6.302631578947368,6.395031055900621,9.115646258503402,10.81891891891892,6.302631578947368,6.395031055900621,0.337489665023425,0.3385851814222799,0.4373775726703012,0.38341439643076486,0.6984367087153959,0.6003038004242085,0.7678105921214936,0.6793966924436159
