,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,8.0,8.0,6.0,6.0,8.748299319727892,10.08108108108108,6.026315789473684,6.219875776397515,0.9722255686817526,0.8893466454905432,0.9986587786360791,0.9982262335208633,0.9922652110761526,0.9384209267593718,0.9985800099216009,0.9958745089099273
0.2,8.0,8.0,6.0,6.0,8.748299319727892,10.156756756756756,6.046052631578948,6.22360248447205,0.6635195649906892,0.6173584351416778,0.9590903582672278,0.927715633383819,0.9130529619651993,0.8584547102854059,0.9612378086567971,0.9479159440914666
0.4,8.0,8.0,6.0,6.0,8.857142857142858,10.232432432432432,6.105263157894737,6.260869565217392,0.7157371064559335,0.5702639414047873,0.6042329635626326,0.8594561263317277,0.8630206675275045,0.8261666745979439,0.8884146586632389,0.8952860724944506
0.6,8.0,8.0,6.0,6.0,8.775510204081632,10.383783783783784,6.157894736842105,6.320496894409938,0.3441497831586368,0.5168273951707257,0.5221734218372914,0.7574569372171015,0.8202834418740402,0.7296339912591754,0.8777887700779134,0.8280548535102272
0.8,8.0,8.0,6.0,6.0,9.224489795918368,10.62972972972973,6.2894736842105265,6.37639751552795,0.4236687108633571,0.42616891732590423,0.3934988984429653,0.5169303823100484,0.7209325236376045,0.6820097355021013,0.799600130584287,0.7516845022600075
1.0,8.0,8.0,6.0,6.0,9.115646258503402,10.81891891891892,6.302631578947368,6.395031055900621,0.3306925148554867,0.35243358812672465,0.3218625365509325,0.4068302489169266,0.6984367087153959,0.6003038004242085,0.7678105921214936,0.6793966924436159
