,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,8.0,8.0,6.0,6.0,8.748299319727892,10.08108108108108,6.026315789473684,6.219875776397515,0.9425828656827917,0.8568756049146523,0.9941641788504887,0.9755824645206055,0.9922652110761526,0.9384209267593718,0.9985800099216009,0.9958745089099273
0.2,8.0,8.0,6.0,6.0,9.82312925170068,11.462162162162162,6.776315789473684,6.816149068322981,0.8760930976646693,0.8125387764863066,0.906724702844625,0.9042773381662295,0.9914382158898983,0.953793142816505,0.9912165778509358,0.9914605795966912
0.4,8.0,8.0,6.0,6.0,10.122448979591837,12.143243243243242,7.1381578947368425,7.237267080745341,0.8503535511922471,0.7586394265092707,0.8570172376767323,0.8437212638788342,0.9816847774041754,0.9283116710749832,0.9818611905763024,0.9805241704033398
0.6,8.0,8.0,6.0,6.0,10.5578231292517,12.502702702702702,7.565789473684211,7.6621118012422365,0.8127605994390387,0.7551049831751231,0.7784731936510325,0.7829586300513018,0.9722227405528633,0.9516041090359559,0.9629280997865033,0.9674630146311677
0.8,8.0,8.0,6.0,6.0,10.789115646258503,13.051351351351352,7.9868421052631575,7.926708074534162,0.7685088386036911,0.6961783938512609,0.6915622334192065,0.6970603403282462,0.9754805564373529,0.919132651871926,0.9350784623570609,0.958004493252461
1.0,8.0,8.0,6.0,6.0,11.115646258503402,13.221621621621622,8.164473684210526,8.239751552795031,0.7077917529865593,0.6435593676526804,0.6188578108946482,0.6270377342976768,0.947096894336801,0.8846852973506257,0.8764234719503867,0.9072361127652737
