,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.520408163265306,7.605405405405405,5.026315789473684,5.13416149068323,6.520408163265306,7.605405405405405,5.026315789473684,5.13416149068323,0.7261941861487976,0.6147342162156427,0.9657292046763918,0.6821874963755934,0.940873028824524,0.942147269361728,0.9996788833747831,0.997505698385446
0.2,6.76530612244898,7.8,5.315789473684211,5.402484472049689,6.76530612244898,7.8,5.315789473684211,5.402484472049689,0.6933523028024605,0.6341693719899332,0.9196335864825207,0.6891903060563603,0.9462811351836133,0.9311290776608764,0.9955460370371216,0.997505698385446
0.4,6.918367346938775,8.14054054054054,5.421052631578948,5.760248447204969,6.918367346938775,8.14054054054054,5.421052631578948,5.760248447204969,0.7051270142400345,0.6467292181342035,0.8921602036019689,0.7342223421479604,0.9302429285686032,0.9517945308943052,0.9996788833747831,0.9960803634631707
0.6,7.071428571428571,8.237837837837837,5.815789473684211,6.192546583850931,7.071428571428571,8.237837837837837,5.815789473684211,6.192546583850931,0.758704007001353,0.6256288310059824,0.8606788099727087,0.7029210060464669,0.9533115756146762,0.9156673264463205,0.999028470693973,0.9627133735542341
0.8,7.316326530612245,8.740540540540541,5.894736842105263,6.614906832298137,7.316326530612245,8.740540540540541,5.894736842105263,6.614906832298137,0.6873998599646448,0.6374655022512417,0.8337049033378431,0.7133234105032423,0.9264370257250306,0.8949246300636111,0.9996788833747831,0.9106423457633265
1.0,7.5,8.87027027027027,6.342105263157895,6.853416149068323,7.5,8.87027027027027,6.342105263157895,6.853416149068323,0.6562900928666398,0.6190208310513078,0.7637721274309514,0.7566277123663736,0.9019018247166053,0.8727775894306802,0.9943915333500818,0.978860523722927
