,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.336734693877551,7.345945945945946,5.026315789473684,5.159006211180124,6.336734693877551,7.345945945945946,5.026315789473684,5.159006211180124,0.9474063718146613,0.8925322983313251,0.9953764662669417,0.9752101338057785,0.983916162532203,0.9296502818328303,0.9996788833747831,0.9888414607099865
0.2,6.540816326530612,7.686486486486486,5.342105263157895,5.551552795031056,6.540816326530612,7.686486486486486,5.342105263157895,5.551552795031056,0.919005055563385,0.8742691568828918,0.9467325453858888,0.9294021800160408,0.9804583830999679,0.9246027873375932,0.9910046556278279,0.9733137831832311
0.4,6.744897959183674,7.994594594594594,5.535087719298246,5.770186335403727,6.744897959183674,7.994594594594594,5.535087719298246,5.770186335403727,0.8814531654677018,0.8600643383490073,0.8962496808615693,0.8976680875657508,0.9728096931361828,0.920522950851434,0.9870425274824364,0.9711225885134306
0.6,7.0,8.497297297297298,5.719298245614035,6.272049689440994,7.0,8.497297297297298,5.719298245614035,6.272049689440994,0.867163130874131,0.8425538069895796,0.8600023315582228,0.8377531348640874,0.9312880495879926,0.898509315723503,0.9801886604543317,0.9477181884095721
0.8,7.040816326530612,8.610810810810811,6.035087719298246,6.545341614906833,7.040816326530612,8.610810810810811,6.035087719298246,6.545341614906833,0.8324704813916667,0.7881283244369803,0.8008541158286103,0.8033117727185628,0.959138211090954,0.8218745970041366,0.9891581146471333,0.9217703062832726
1.0,7.479591836734694,9.113513513513514,6.517543859649122,6.972670807453416,7.479591836734694,9.113513513513514,6.517543859649122,6.972670807453416,0.7696928515219364,0.8087696085507805,0.7520767787569448,0.7700734827551783,0.9553124149184243,0.9034425657544587,0.946496947145645,0.9177071692271632
