,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.489795918367347,7.232432432432432,5.017543859649122,5.139130434782609,6.489795918367347,7.232432432432432,5.017543859649122,5.139130434782609,0.9077126726153351,0.7730445757508277,0.9979825396286813,0.8910025309701884,0.950115786497893,0.9420606106922433,0.9996788833747831,0.9915352473162716
0.2,6.73469387755102,7.556756756756757,5.245614035087719,5.477018633540372,6.73469387755102,7.556756756756757,5.245614035087719,5.477018633540372,0.8705547438541643,0.7672728750351313,0.9543989285042411,0.8937438057677716,0.9340053980245071,0.9321969232043704,0.9971364852890634,0.9940588929083036
0.4,6.795918367346939,7.978378378378379,5.473684210526316,5.795031055900621,6.795918367346939,7.978378378378379,5.473684210526316,5.795031055900621,0.872515363504692,0.7475172193670595,0.9431981780942071,0.8744874481829057,0.9510091351864695,0.9176620714567804,0.9996788833747831,0.9827886282009367
0.6,7.081632653061225,8.108108108108109,5.7894736842105265,6.083229813664596,7.081632653061225,8.108108108108109,5.7894736842105265,6.083229813664596,0.8148873811017494,0.724048085832918,0.9001695486765943,0.8696473057040517,0.9592281358481265,0.9165134234404242,0.9963696391174668,0.9976671801220556
0.8,7.142857142857143,8.627027027027028,6.035087719298246,6.431055900621118,7.142857142857143,8.627027027027028,6.035087719298246,6.431055900621118,0.7957072813494676,0.716199492804102,0.844912431055778,0.8452220462494014,0.9271781493079703,0.8610855954724389,0.945520684515175,0.9784837744806124
1.0,7.36734693877551,9.016216216216216,6.350877192982456,6.937888198757764,7.36734693877551,9.016216216216216,6.350877192982456,6.937888198757764,0.6932852195740558,0.7080150688218104,0.7679280643106291,0.8050339679725422,0.8587381032859387,0.8721071658504976,0.8836080371810678,0.9668026919042843
