,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.448979591836735,7.589189189189189,5.035087719298246,5.139130434782609,6.448979591836735,7.589189189189189,5.035087719298246,5.139130434782609,0.5855749544060352,0.5564563025695246,0.8832202397875095,0.5430753769896786,0.9575030830416347,0.9181278368508493,0.9996788833747831,0.997645768930453
0.2,6.6938775510204085,8.108108108108109,5.350877192982456,5.516770186335404,6.6938775510204085,8.108108108108109,5.350877192982456,5.516770186335404,0.6036988119943206,0.566591068608938,0.8456323763943816,0.5716938330751399,0.9669901429339737,0.916525411605835,0.9996788833747831,0.9979691761806144
0.4,6.775510204081633,8.302702702702703,5.491228070175438,5.655900621118012,6.775510204081633,8.302702702702703,5.491228070175438,5.655900621118012,0.6071963981680927,0.6039905073272215,0.8084431559239563,0.6078919551572445,0.9528958656932829,0.8913087067571847,0.9996788833747831,0.997645768930453
0.6,7.142857142857143,8.367567567567567,5.771929824561403,5.93416149068323,7.142857142857143,8.367567567567567,5.771929824561403,5.93416149068323,0.5746799566383872,0.6005974168209611,0.8385053212803445,0.6011678665135958,0.9397778370018516,0.9120792588370071,0.9996788833747831,0.9816305173572546
0.8,7.081632653061225,8.659459459459459,6.052631578947368,6.470807453416149,7.081632653061225,8.659459459459459,6.052631578947368,6.470807453416149,0.6183737856494326,0.6124375740821297,0.7612983963468618,0.6445139528848,0.9738357104614478,0.8672442372183542,0.9995833709836006,0.9757735549940826
1.0,7.469387755102041,8.756756756756756,6.4035087719298245,6.947826086956522,7.469387755102041,8.756756756756756,6.4035087719298245,6.947826086956522,0.6758260384556793,0.6661262304396243,0.7233669078222623,0.7083193173551041,0.9880496317229304,0.9207216380013002,0.9929773634985873,0.9754057485818493
