,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.336734693877551,7.345945945945946,5.026315789473684,5.159006211180124,6.336734693877551,7.345945945945946,5.026315789473684,5.159006211180124,0.88522291691581,0.9472450835882007,0.9996788833747831,0.997505698385446,0.983916162532203,0.9296502818328303,0.9996788833747831,0.9888414607099865
0.2,6.418367346938775,7.475675675675675,5.052631578947368,5.2832298136645965,6.418367346938775,7.475675675675675,5.052631578947368,5.2832298136645965,0.9125747153041314,0.8699730106805628,0.845873125367226,0.9136734847303318,0.9166089701307875,0.8498338866374783,0.942659306981225,0.9217056347762946
0.4,6.469387755102041,7.54054054054054,5.06140350877193,5.477018633540372,6.469387755102041,7.54054054054054,5.06140350877193,5.477018633540372,0.6028375022594823,0.8065712469353064,0.8278063713997222,0.8653947812985189,0.8285358325692311,0.7713740803402018,0.8858482664892156,0.8610141426139737
0.6,6.683673469387755,7.751351351351351,5.175438596491228,5.616149068322981,6.683673469387755,7.751351351351351,5.175438596491228,5.616149068322981,0.5733561969875377,0.5350606541250001,0.4676399288000539,0.6982548237541077,0.7045378131019014,0.6354091745927124,0.791278342373277,0.7571910550760002
0.8,6.6938775510204085,8.221621621621622,5.280701754385965,5.839751552795031,6.6938775510204085,8.221621621621622,5.280701754385965,5.839751552795031,0.30870542124382594,0.37792146222514883,0.5086092568735854,0.5216538380041881,0.6277308670643933,0.5395641517246494,0.679145059371653,0.6910779358842265
1.0,6.938775510204081,8.254054054054054,5.385964912280702,6.068322981366459,6.938775510204081,8.254054054054054,5.385964912280702,6.068322981366459,0.3350781434069888,0.3655648021115544,0.2358322839560028,0.3556800475782969,0.5548867060752193,0.47196038965689574,0.5952508621706154,0.5911176837471701
