,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.448979591836735,7.589189189189189,5.035087719298246,5.139130434782609,6.448979591836735,7.589189189189189,5.035087719298246,5.139130434782609,0.8627593589908614,0.931621084462952,0.9996788833747831,0.997645768930453,0.9575030830416347,0.9181278368508493,0.9996788833747831,0.997645768930453
0.2,6.489795918367347,7.848648648648648,5.0701754385964914,5.17888198757764,6.489795918367347,7.848648648648648,5.0701754385964914,5.17888198757764,0.9189757443457639,0.828257127831111,0.8478060925436582,0.9298077686695578,0.9093359349688299,0.7819127789018927,0.9333811729223255,0.9309820748264005
0.4,6.653061224489796,8.302702702702703,5.245614035087719,5.39751552795031,6.653061224489796,8.302702702702703,5.245614035087719,5.39751552795031,0.7097329067535141,0.7412717807534579,0.8289786027547834,0.868503399609779,0.7698118791275588,0.7133867115650728,0.859975823899731,0.861332105829016
0.6,7.1020408163265305,8.756756756756756,5.385964912280702,5.556521739130435,7.1020408163265305,8.756756756756756,5.385964912280702,5.556521739130435,0.42770067480674684,0.5664967753924429,0.5817533557409453,0.6740263146516051,0.5742993255796823,0.5513021512183587,0.7210573672312883,0.7369836452328861
0.8,7.122448979591836,9.502702702702702,6.052631578947368,5.9987577639751555,7.122448979591836,9.502702702702702,6.052631578947368,5.9987577639751555,0.40030532061806595,0.3639174200808378,0.3390256397021738,0.5613004996985058,0.5091163039256559,0.37205597867786483,0.5054180242556245,0.6515150255170761
1.0,7.591836734693878,9.275675675675675,6.43859649122807,6.575155279503106,7.591836734693878,9.275675675675675,6.43859649122807,6.575155279503106,0.29351241281374874,0.3989320211540404,0.2579907463514246,0.3197057018445527,0.4038274736598223,0.3744576644769089,0.37454112757226093,0.46236175951426445
