,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.3979591836734695,7.410810810810811,5.026315789473684,5.278260869565218,6.3979591836734695,7.410810810810811,5.026315789473684,5.278260869565218,0.9257927155692358,0.9542307509361087,0.9996788833747831,0.998888033073141,0.983698188701049,0.9414100388014639,0.9996788833747831,0.9936358706921524
0.2,6.387755102040816,7.427027027027027,5.035087719298246,5.2881987577639755,6.387755102040816,7.427027027027027,5.035087719298246,5.2881987577639755,0.9106418634859883,0.856452417595161,0.8431787565227991,0.9327213217405984,0.917173559745761,0.8776479074882494,0.9419983808858026,0.9257414149733619
0.4,6.479591836734694,7.45945945945946,5.043859649122807,5.367701863354037,6.479591836734694,7.45945945945946,5.043859649122807,5.367701863354037,0.48175401306951887,0.690284588840488,0.8296111790969326,0.8684956985358033,0.8258833501608346,0.7862220849439099,0.8869939100144333,0.8671336482666572
0.6,6.540816326530612,7.654054054054054,5.149122807017544,5.467080745341615,6.540816326530612,7.654054054054054,5.149122807017544,5.467080745341615,0.5177179941088658,0.5067427231395315,0.5494085805707105,0.6636365563753321,0.7267243137494439,0.660633356818879,0.7837778157309482,0.76576312258131
0.8,6.642857142857143,7.605405405405405,5.219298245614035,5.546583850931677,6.642857142857143,7.605405405405405,5.219298245614035,5.546583850931677,0.29573828944157127,0.33665177054456247,0.3252210533813157,0.5520421286501129,0.6469214252785457,0.5769530310572402,0.6558898756762541,0.6883274144279012
1.0,6.673469387755102,7.8,5.2894736842105265,5.685714285714286,6.673469387755102,7.8,5.2894736842105265,5.685714285714286,0.3335238658889596,0.38287814108629686,0.2341315337092199,0.2774473699821327,0.5848206606041007,0.4964292864013161,0.578592735187461,0.5841875756920101
