,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.520408163265306,7.605405405405405,5.026315789473684,5.13416149068323,6.520408163265306,7.605405405405405,5.026315789473684,5.13416149068323,0.9400554391346416,0.9217517928295844,0.9996788833747831,0.997505698385446,0.940873028824524,0.942147269361728,0.9996788833747831,0.997505698385446
0.2,6.612244897959184,7.945945945945946,5.052631578947368,5.238509316770187,6.612244897959184,7.945945945945946,5.052631578947368,5.238509316770187,0.9097394123673439,0.7756654015415021,0.8478060925436582,0.9320946648300434,0.8729907655898406,0.8129587154432728,0.9371004928875584,0.9296910091378489
0.4,6.704081632653061,8.14054054054054,5.052631578947368,5.462111801242236,6.704081632653061,8.14054054054054,5.052631578947368,5.462111801242236,0.7115857126191258,0.7049729205422557,0.8296111790969326,0.8687144997651163,0.7406353951387462,0.7359182892203633,0.8855159386682013,0.8643249790398231
0.6,6.76530612244898,8.78918918918919,5.5,5.834782608695652,6.76530612244898,8.78918918918919,5.5,5.834782608695652,0.434269846790014,0.5384397770328497,0.5609522149203705,0.719907312846008,0.6390932968423265,0.5366560533743452,0.7300649552806199,0.7168208858345329
0.8,7.163265306122449,9.47027027027027,5.7105263157894735,6.0583850931677015,7.163265306122449,9.47027027027027,5.7105263157894735,6.0583850931677015,0.3551798210880041,0.386550453750769,0.4254028565151282,0.5945151808098976,0.49252827406455413,0.4151041584894867,0.588487398801494,0.626442688255808
1.0,7.377551020408164,9.12972972972973,6.2105263157894735,6.525465838509317,7.377551020408164,9.12972972972973,6.2105263157894735,6.525465838509317,0.3353876414685827,0.3380843806823061,0.26266043629444186,0.31800184491248107,0.46804231293119336,0.3651322238814287,0.4197257815363915,0.4948019142245284
