,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.489795918367347,7.232432432432432,5.017543859649122,5.139130434782609,6.489795918367347,7.232432432432432,5.017543859649122,5.139130434782609,0.941795331559011,0.9453610929081568,0.9996788833747831,0.997505698385446,0.950115786497893,0.9420606106922433,0.9996788833747831,0.9915352473162716
0.2,6.469387755102041,7.589189189189189,5.052631578947368,5.3080745341614906,6.469387755102041,7.589189189189189,5.052631578947368,5.3080745341614906,0.9215080806744748,0.8160425615874497,0.8457520538573399,0.9173784851565124,0.8966852491784866,0.8272228231603229,0.9426658032257763,0.9259580172228147
0.4,6.612244897959184,7.816216216216216,5.052631578947368,5.536645962732919,6.612244897959184,7.816216216216216,5.052631578947368,5.536645962732919,0.6570355435342331,0.7664418855027573,0.8296111790969326,0.8638662981551997,0.7996230560963099,0.7599640214035438,0.8888425342166764,0.8525409009562146
0.6,6.836734693877551,8.205405405405406,5.2631578947368425,5.75527950310559,6.836734693877551,8.205405405405406,5.2631578947368425,5.75527950310559,0.42200716297287927,0.5343915517177634,0.5967501269356275,0.6949673350368227,0.6507668507627534,0.5884192821896962,0.759411356142281,0.7345279031519935
0.8,7.020408163265306,8.91891891891892,5.649122807017544,6.0037267080745345,7.020408163265306,8.91891891891892,5.649122807017544,6.0037267080745345,0.36903159748002584,0.3922787030529533,0.3374666255845672,0.621319698446332,0.5585595212558436,0.442794753202061,0.5983923612853814,0.6639701840693351
1.0,7.326530612244898,8.854054054054053,5.807017543859649,6.520496894409938,7.326530612244898,8.854054054054053,5.807017543859649,6.520496894409938,0.32069226406232715,0.3721581952849315,0.28902133714342326,0.2857180343689947,0.49681579684965366,0.42004603894971737,0.48352127557767455,0.5246112654309558
