,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.561224489795919,7.378378378378378,5.043859649122807,5.3229813664596275,6.561224489795919,7.378378378378378,5.043859649122807,5.3229813664596275,0.9448627684341402,0.9206544104258756,0.9996788833747831,0.9831512178600945,0.9609355173599557,0.9511666537740746,0.9996788833747831,0.9798734298218852
0.2,6.510204081632653,7.864864864864865,5.131578947368421,5.571428571428571,6.510204081632653,7.864864864864865,5.131578947368421,5.571428571428571,0.9219339204077818,0.7896086248090943,0.8478060925436582,0.9158478940727177,0.9145431999421242,0.7968983539354962,0.9338033379815323,0.909598154972614
0.4,6.76530612244898,8.18918918918919,5.307017543859649,5.645962732919255,6.76530612244898,8.18918918918919,5.307017543859649,5.645962732919255,0.7319695333392695,0.7368090219858631,0.8353083673496976,0.8603425495257103,0.7439757876801399,0.744488143371544,0.840606911087474,0.8584002167541788
0.6,7.122448979591836,9.08108108108108,5.657894736842105,5.968944099378882,7.122448979591836,9.08108108108108,5.657894736842105,5.968944099378882,0.42227518776998707,0.6081065299165611,0.5619656696257982,0.7247810820655561,0.6201891233363714,0.545272922846237,0.6902984616309894,0.7196323941432818
0.8,7.826530612244898,9.972972972972974,6.008771929824562,6.142857142857143,7.826530612244898,9.972972972972974,6.008771929824562,6.142857142857143,0.36713793583065396,0.3783699067385011,0.37018154515004553,0.5744596132389646,0.32249495921716675,0.37502756244023144,0.5298256369975494,0.6408202282401808
1.0,7.826530612244898,9.567567567567568,6.359649122807017,6.565217391304348,7.826530612244898,9.567567567567568,6.359649122807017,6.565217391304348,0.3568057861384226,0.328645167537537,0.31304381060181186,0.31886699648728734,0.3469444194105359,0.3413613525798192,0.3728350193368418,0.4979323011169337
