,S3 overhead error,S4 overhead error,S5 overhead error,S8 overhead error,S3 overhead correct,S4 overhead correct,S5 overhead correct,S8 overhead correct,S3 power error,S4 power error,S5 power error,S8 power error,S3 power correct,S4 power correct,S5 power correct,S8 power correct
0.0,6.0,6.0,5.0,5.0,6.3979591836734695,7.410810810810811,5.026315789473684,5.278260869565218,0.8834175458748121,0.9231043952743749,0.9996788833747831,0.997505698385446,0.983698188701049,0.9414100388014639,0.9996788833747831,0.9936358706921524
0.2,6.0,6.0,5.0,5.0,6.387755102040816,7.427027027027027,5.035087719298246,5.2881987577639755,0.9149234180345016,0.7574817773659487,0.8478060925436582,0.9316752502451773,0.917173559745761,0.8776479074882494,0.9419983808858026,0.9257414149733619
0.4,6.0,6.0,5.0,5.0,6.479591836734694,7.45945945945946,5.043859649122807,5.367701863354037,0.5068555978351735,0.6597957959411213,0.8296111790969326,0.8727961647492017,0.8258833501608346,0.7862220849439099,0.8869939100144333,0.8671336482666572
0.6,6.0,6.0,5.0,5.0,6.540816326530612,7.654054054054054,5.149122807017544,5.467080745341615,0.35776926043323004,0.39377900484596956,0.438037053100344,0.7169260970507719,0.7267243137494439,0.660633356818879,0.7837778157309482,0.76576312258131
0.8,6.0,6.0,5.0,5.0,6.642857142857143,7.605405405405405,5.219298245614035,5.546583850931677,0.2987853495259991,0.3618246234160521,0.2669611663732212,0.5210419921780016,0.6469214252785457,0.5769530310572402,0.6558898756762541,0.6883274144279012
1.0,6.0,6.0,5.0,5.0,6.673469387755102,7.8,5.2894736842105265,5.685714285714286,0.29307400670613726,0.3852205344903711,0.2303167069136786,0.3172664552639233,0.5848206606041007,0.4964292864013161,0.578592735187461,0.5841875756920101
